GRB,ID,Comment,Z,Theta,Theta_Err,T90,Cut,A,B,C,D,E,F,G,H
GRB 050525A,130088,,0.606,2.52,0.4,8.84,0;13,1,1,1,1,1,1,1,1
GRB 050820A,151207,,2.6147,3.16,0.18,26.2,-20;250,1,1,1,1,1,1,1,1
GRB 050922C,156467,,2.2,1.66,0.19,4.54,-3.3;3.3,1,1,1,1,1,1,1,1
GRB 051109A,163136,,2.346,1.66,0.18,37.2,-5;38,1,1,1,1,1,1,1,1
GRB 051111,163438,,1.55,1.03,0.4,64,-10;85,1,1,1,1,1,1,1,1
GRB 060206,180455,,4.0479,2.45,0.18,7.55,-1;7,1,1,1,1,1,1,1,1
GRB 060418,205851,,1.5,2.89,0.41,109.17,-90;140,1,1,1,1,1,1,1,1
GRB 061126,240766,,1.5,5.02,0.34,50.28,-10;85,1,1,1,1,1,1,1,1
GRB 071003,292934,Multp.Angl,1.6044,0.36,0.12,148.38,-10;170,1,1,1,1,0,0,0,0
GRB 071003,292934,Multp.Angl,1.6044,2.14,0.20,148.38,-10;170,0,0,0,0,1,1,1,1
GRB 080319B,306757,Multp.Angl,0.937,0.8,0.69,124.86,-10;310,1,1,0,0,1,1,0,0
GRB 080319B,306757,Multp.Angl,0.937,7.93,0.93,124.86,-10;310,0,0,1,1,0,0,1,1
GRB 080413A,309096,,2.433,0.39,0.69,46.36,0;52,1,1,1,1,1,1,1,1
GRB 080413B,309111,Multp.Angl,1.1,0.39,0.23,8,-1;12,1,0,1,0,1,0,1,0
GRB 080413B,309111,Multp.Angl,1.1,2.06,0.31,8,-1;12,0,1,0,1,0,1,0,1
GRB 081203A,336489,,2.1,0.98,0.15,223,-80;420,1,1,1,1,1,1,1,1
GRB 090618,355083,,0.54,2.82,0.37,113.34,-10;220,1,1,1,1,1,1,1,1
GRB 091029,374210,,2.752,1.24,0.92,39.18,-4;54,1,1,1,1,1,1,1,1
GRB 091127,377179,,0.49,1.55,0.19,7.42,-1;8.5,1,1,1,1,1,1,1,1
GRB 110205A,444643,,2.22,2.88,0.24,266.68,-140;390,1,1,1,1,1,1,1,1
GRB 120729A,529095,,0.8,1.17,0.30,93.8,-10;105,1,1,1,1,1,1,1,1
GRB 130427A,554620,,0.34,4.98,0.32,162.83,-90;600,1,1,1,1,1,1,1,1
